,LogisticRegression,SupportVectorMachine,RandomForest
0,0,0,0
1,1,0,1
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,1,0
8,0,0,0
9,1,1,1
10,0,0,0
11,0,0,0
12,0,0,0
13,1,0,1
14,0,0,0
15,0,0,0
16,1,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,1,0,1
21,1,0,0
22,0,0,0
23,1,0,1
24,0,0,0
25,1,1,1
26,1,0,1
27,1,0,1
28,1,0,1
29,0,0,0
30,1,0,1
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,1,1
36,0,0,0
37,1,0,0
38,0,0,0
39,0,0,0
40,0,1,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,1,0
47,1,0,1
48,0,0,0
49,0,0,0
50,0,0,0
51,1,1,1
52,1,1,1
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,1
59,0,0,0
60,0,0,0
61,1,0,1
62,1,0,1
63,0,0,0
64,0,1,1
65,1,0,1
66,1,0,0
67,0,0,0
68,0,0,0
69,1,0,1
70,1,0,1
71,1,1,1
72,0,0,0
73,1,0,1
74,1,0,1
75,1,1,1
76,0,0,0
77,1,0,1
78,0,1,0
79,0,0,0
80,1,1,1
81,0,0,0
82,0,0,0
83,0,1,1
84,1,0,1
85,1,0,1
86,0,0,0
87,1,1,1
88,0,0,0
89,0,0,0
90,0,0,0
91,1,0,1
92,1,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1,1,1
99,0,0,0
100,1,0,1
101,0,0,0
102,0,0,0
103,1,0,1
104,0,0,0
105,0,0,0
106,1,0,1
107,0,0,0
108,0,0,0
109,1,0,1
110,1,0,1
111,0,0,1
112,1,0,0
113,1,0,1
114,1,1,0
115,0,0,0
116,0,0,0
117,1,0,1
118,1,0,1
119,1,0,1
120,1,1,1
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,1,1,1
128,0,0,0
129,0,1,1
130,0,0,0
131,0,0,0
132,0,0,0
133,0,1,0
134,1,1,1
135,1,0,1
136,1,0,1
137,1,1,1
138,1,0,0
139,1,0,0
140,1,1,1
141,0,0,0
142,1,0,1
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,1,0
153,0,0,0
154,1,0,1
155,1,0,1
156,0,0,0
157,0,0,0
158,1,0,0
159,1,0,1
160,0,0,0
161,0,1,0
162,1,0,1
163,0,0,0
164,1,0,1
165,0,0,0
166,0,1,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,1,0,1
173,1,0,0
174,0,0,0
175,0,0,0
176,1,0,1
177,1,0,1
178,1,1,1
179,1,0,1
180,0,0,0
181,1,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,1
188,0,0,0
189,0,0,0
190,1,1,0
191,0,0,0
192,1,0,0
193,0,0,0
194,0,0,0
195,1,1,1
196,1,0,1
197,0,0,0
198,0,0,0
199,1,0,1
200,0,0,0
201,1,0,1
202,0,0,0
203,1,0,1
204,0,0,0
205,0,1,0
206,1,1,1
207,0,0,0
208,0,0,0
209,1,1,1
210,0,0,0
211,1,0,1
212,0,0,0
213,1,1,1
214,1,1,1
215,0,0,0
216,1,1,1
217,1,1,1
218,1,0,1
219,1,0,1
220,1,1,1
221,1,0,1
222,0,0,0
223,1,0,1
224,0,0,0
225,1,0,1
226,0,0,0
227,0,0,0
228,0,0,0
229,1,0,1
230,1,0,1
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,1,1,1
240,1,0,1
241,1,0,0
242,0,1,0
243,0,0,0
244,0,0,0
245,1,0,1
246,1,1,1
247,1,0,1
248,0,0,0
249,0,0,0
250,0,1,1
251,0,1,1
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,1,0,1
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,1,0,1
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,1,0
267,0,0,0
268,1,1,1
269,1,0,1
270,0,0,0
271,1,0,0
272,1,0,1
273,0,0,0
274,0,1,0
275,1,0,1
276,0,0,0
277,0,0,0
278,0,0,0
279,0,1,0
280,0,0,0
281,1,0,0
282,0,0,0
283,0,0,0
284,1,0,1
285,0,0,0
286,0,0,0
287,1,0,1
288,1,1,1
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,1,1,1
295,0,0,0
296,0,0,0
297,0,0,1
298,0,0,0
299,1,0,1
300,0,0,0
301,1,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,1,1,1
306,0,1,1
307,0,0,0
308,0,0,0
309,0,0,0
310,1,0,1
311,1,1,1
312,0,0,0
313,0,1,0
314,1,1,1
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,1,0,1
322,1,0,1
323,1,1,1
324,1,0,1
325,0,1,0
326,0,0,0
327,0,0,0
